;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
84;[0.00107384];[-0.10740944];[-0.0010614];[-0.12679826];[-0.00056281];0.00387324;-6.0;[0.04707115];[0.0067202];[0.00105999];[-0.03945298];[-0.00713127];0.04647887;6.0;372059593042200
85;[-0.0080826];[-0.11632436];[0.00334337];[-0.02726051];[-0.01303696];-0.00950704;-6.0;[0.04688389];[0.00241277];[-0.00062074];[-0.0525161];[-0.00887047];0.04647887;6.0;372059660297200
86;[-0.01577896];[-0.1117495];[-0.00236977];[-0.08835906];[-0.01563895];-0.015845070000000003;-6.0;[0.04671089];[0.00095731];[-0.00311419];[-0.04720648];[-0.0092005];0.04647887;6.0;372059727083200
87;[-0.02207084];[-0.09781755];[-0.01012591];[-0.04936258];[-0.01281753];-0.021478869999999997;-6.0;[0.04661917];[0.0014953];[-0.00515515];[-0.0333949];[-0.00867468];0.04647887;6.0;372059794272400
88;[-0.02799547];[-0.08628576];[-0.01223147];[-0.00622445];[-0.01193044];-0.027816900000000002;-6.0;[0.04617968];[-9.15899861e-05];[-0.00515082];[-0.02770964];[-0.0097658];0.04577465;6.0;372059861363200
89;[-0.03301241];[-0.07382079];[-0.01320912];[0.00930514];[-0.01002834];-0.03274648;-6.0;[0.04596658];[0.00069158];[-0.00629067];[-0.02821707];[-0.00934907];0.04577465;6.0;372059928439400
90;[-0.03979067];[-0.07937743];[-0.00660827];[-0.02179035];[-0.01906867];-0.04119718;-6.0;[0.04505416];[-0.00337306];[-0.00498837];[-0.03328889];[-0.01216037];0.044366199999999995;6.0;372059995337900
91;[-0.04604601];[-0.07988413];[-0.00814234];[-0.08715605];[-0.02366993];-0.04683099;-6.0;[0.04458615];[-0.00259637];[-0.00696502];[-0.04239992];[-0.00391165];0.044366199999999995;5.0;372060062457400
92;[-0.04850405];[-0.05329148];[-0.02082549];[-0.03219029];[-0.01114378];-0.04683099;-6.0;[0.04442866];[9.73589687e-06];[-0.00607734];[0.01774869];[0.0046072];0.044366199999999995;4.0;372060129558900
93;[-0.05044001];[-0.03348974];[-0.02081396];[0.07611351];[-0.00399722];-0.04964789;-6.0;[0.04442072];[0.0013647];[-0.00197603];[0.0549769];[0.0121216];0.044366199999999995;3.0;372060196564100
94;[-0.05070411];[-0.01282957];[-0.01827433];[0.1142786];[0.00460574];-0.04894366;-6.0;[0.04442374];[0.00034809];[0.0036889];[0.07072725];[0.01832975];0.044366199999999995;2.0;372060263752800
95;[-0.04944528];[0.00667064];[-0.01382603];[0.14843487];[0.01351161];-0.04823944;-6.0;[0.04436369];[-0.00267846];[0.00946625];[0.07419731];[0.02359125];0.044366199999999995;1.0;372060330547400
96;[-0.04805512];[0.01553258];[-0.00485741];[0.15143559];[0.01687995];-0.04753521;-6.0;[0.04380059];[-0.00965995];[0.0156402];[0.06732411];[0.02660929];0.043661969999999994;0.0;372060397562000
97;[-0.04690551];[0.01558546];[0.00390254];[0.10884805];[0.01623602];-0.04683099;-6.0;[0.04293816];[-0.01720528];[0.02004087];[0.05507103];[0.02950248];0.042957749999999996;-1.0;372060464680500
98;[-0.04521545];[0.01694747];[0.00734983];[0.07255015];[0.01763569];-0.04471831;-6.0;[0.04067159];[-0.03203218];[0.02591108];[0.03279246];[0.02771302];0.04014085;-2.0;372060531628500
99;[-0.0445339];[0.00980258];[0.0123475];[0.04545869];[0.01401827];-0.04471831;-6.0;[0.03851646];[-0.04032992];[0.02602953];[0.01332417];[0.03011588];0.03873239;-3.0;372060598655300
100;[-0.04404529];[0.0037206];[0.01325378];[0.00669904];[0.01158096];-0.04401408;-6.0;[0.0361738];[-0.0459475];[0.02586899];[0.03328642];[0.03351125];0.03661972;-4.0;372060665706900
101;[-0.04443776];[-0.00536145];[0.01381487];[-0.01714496];[0.00709607];-0.04471831;-6.0;[0.03254287];[-0.05782404];[0.02942462];[0.03490184];[0.03237057];0.03239437;-5.0;372060732943100
102;[-0.04482377];[-0.00974197];[0.01090387];[-0.03221449];[0.00541651];-0.04471831;-6.0;[0.03079259];[-0.05200692];[0.02463827];[0.05711078];[0.04235872];0.03239437;-6.0;372060799952200
103;[-0.04549735];[-0.01293345];[0.00839173];[-0.02534689];[0.00389853];-0.04542254;-6.0;[0.02685389];[-0.06327957];[0.03172227];[0.08916842];[0.03261137];0.02676056;-6.0;372060867029000
104;[-0.0466843];[-0.01726073];[0.00714357];[-0.02649172];[0.00123905];-0.04683099;-6.0;[0.02070855];[-0.08562318];[0.0367079];[-0.02840228];[0.01701846];0.01971831;-6.0;372060934079900
105;[-0.04725332];[-0.01471855];[0.00320729];[-0.01853163];[0.00270017];-0.04683099;-6.0;[0.01770825];[-0.07561943];[0.02185672];[-0.04958783];[0.0222331];0.01971831;-6.0;372061001143000
106;[-0.04781906];[-0.01238036];[0.00175914];[0.00628835];[0.00352163];-0.04753521;-6.0;[0.0117357];[-0.08674766];[0.02330065];[-0.00725727];[0.01202882];0.011267609999999999;-6.0;372061068351100
107;[-0.04840283];[-0.01103029];[0.00180638];[0.0135305];[0.00364608];-0.04823944;-6.0;[0.00653436];[-0.08708323];[0.01735604];[-0.04652965];[0.00910568];0.00704225;-6.0;372061135294800
108;[-0.04902585];[-0.01065721];[0.00226326];[0.01122957];[0.00324665];-0.04894366;-6.0;[0.00152547];[-0.08390392];[0.01177401];[-0.0253092];[0.00765344];0.00211268;-6.0;372061202367200
109;[-0.04969076];[-0.01085273];[0.00255068];[0.00569447];[0.00259925];-0.04964789;-6.0;[-0.00716986];[-0.10579316];[0.01771777];[-0.0745661];[-0.01016261];-0.00915493;-6.0;372061269312400
110;[-0.0499581];[-0.00826507];[0.00143166];[0.00831599];[0.00378315];-0.04964789;-6.0;[-0.01116857];[-0.08535157];[-0.00044927];[-0.09050182];[-0.00032614];-0.00915493;-6.0;372061336489900
111;[-0.04999169];[-0.00511232];[0.00101068];[0.02148487];[0.00523391];-0.04964789;-6.0;[-0.01938809];[-0.09902692];[0.00538698];[-0.04038312];[-0.01434718];-0.02112676;-6.0;372061403591900
112;[-0.04949606];[8.80002851e-05];[0.0005686];[0.03635665];[0.0080337];-0.04894366;-6.0;[-0.03325258];[-0.14547792];[0.01646908];[-0.23385803];[-0.0479399];-0.03802817;-6.0;372061470536500
113;[-0.04874071];[0.00440916];[0.0015966];[0.0514329];[0.01034562];-0.04823944;-6.0;[-0.04291535];[-0.14092617];[-0.00807049];[-0.33266432];[-0.04826068];-0.042957749999999996;-6.0;372061537611900
114;[-0.04791351];[0.00660549];[0.0036913];[0.05396365];[0.01157762];-0.04753521;-6.0;[-0.0494501];[-0.109811];[-0.03131455];[-0.15124163];[-0.03523875];-0.047887320000000004;-6.0;372061604683900
115;[-0.04754435];[0.00390776];[0.0069286];[0.03907076];[0.01005076];-0.04753521;-6.0;[-0.05367688];[-0.07293563];[-0.04016848];[0.03198247];[-0.02060789];-0.052112679999999995;-6.0;372061671756800
116;[-0.04662961];[0.00546388];[0.00646576];[0.02783228];[0.00377058];-0.04612676;-5.0;[-0.05778319];[-0.05232041];[-0.03318945];[0.10440321];[-0.016032];-0.05774648;-6.0;372061738773800
117;[-0.04579618];[0.00626259];[0.00436485];[-0.00631945];[-0.0025161];-0.04542254;-4.0;[-0.05934192];[-0.02700943];[-0.02962068];[0.10964819];[-0.0064027];-0.058450699999999994;-6.0;372061805812800
118;[-0.04543132];[0.00458846];[0.00187471];[-0.03647986];[-0.01023835];-0.04542254;-3.0;[-0.05890497];[-0.00216686];[-0.02491821];[0.14929317];[0.00423165];-0.05774648;-6.0;372061872988200
119;[-0.04531123];[0.00337012];[-0.00227];[-0.06590138];[-0.01762168];-0.04542254;-2.0;[-0.05770389];[0.01352972];[-0.01585499];[0.16502391];[0.01051233];-0.05704225;-6.0;372061940087100
120;[-0.0452669];[0.00399196];[-0.00765931];[-0.08254475];[-0.02402414];-0.04542254;-1.0;[-0.05602921];[0.02167958];[-0.00658349];[0.1416452];[0.0138127];-0.055633800000000004;-6.0;372062007000400
121;[-0.04562703];[0.00356443];[-0.01224223];[-0.09622852];[-0.0313924];-0.04612676;0.0;[-0.05350418];[0.02881698];[-0.00073986];[0.11898236];[0.01798781];-0.0528169;-6.0;372062074110500
122;[-0.04532234];[0.00971109];[-0.01946307];[-0.09943053];[-0.03475307];-0.04542254;1.0;[-0.05150723];[0.02697479];[0.00656204];[0.09552112];[0.01736014];-0.051408449999999994;-6.0;372062141145500
123;[-0.04500378];[0.01524379];[-0.02414819];[-0.08703892];[-0.03893734];-0.04542254;2.0;[-0.05080758];[0.01519489];[0.0135625];[0.03527497];[0.01136262];-0.051408449999999994;-6.0;372062208248400
124;[-0.04385496];[0.02529466];[-0.02953514];[-0.07812587];[-0.04025488];-0.04401408;3.0;[-0.05086571];[0.00258347];[0.01522691];[-0.02912974];[0.00545413];-0.051408449999999994;-6.0;372062275265900
125;[-0.04311641];[0.02922236];[-0.0305817];[-0.07689226];[-0.04551877];-0.04401408;4.0;[-0.05206843];[-0.01153487];[0.01441611];[-0.07113462];[-0.00163409];-0.0528169;-6.0;372062342332000
126;[-0.04015284];[0.04701979];[-0.03793078];[-0.06537848];[-0.04149593];-0.03978873;5.0;[-0.05374667];[-0.02114434];[0.00997343];[-0.09475248];[-0.00638579];-0.05422535;-6.0;372062409318200
127;[-0.03635826];[0.06358354];[-0.0401593];[-0.01221882];[-0.03854012];-0.03626761;6.0;[-0.05547892];[-0.02474069];[0.00394832];[-0.08595074];[-0.00823549];-0.055633800000000004;-6.0;372062476491000
128;[-0.03315272];[0.06827502];[-0.0358655];[-0.01770637];[-0.03470639];-0.03415493;6.0;[-0.05750054];[-0.02671506];[-0.00018781];[-0.06649713];[-0.00997966];-0.05774648;-6.0;372062543507700
