;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
57;[0.02382932];[0.06998246];[0.00271302];[0.04135797];[0.00295603];0.02288732;6.0;[-0.05390923];[-0.00857669];[-0.00945662];[0.06939231];[0.00246475];-0.05352113;-6.0;374011535341500
58;[0.02973049];[0.07474595];[-0.0002677];[0.02303381];[0.01041101];0.0306338;6.0;[-0.05384641];[-0.00158849];[-0.00587859];[0.06839752];[0.00500927];-0.05352113;-6.0;374011602444400
59;[0.03432228];[0.06870518];[0.00431673];[0.05150243];[0.01024702];0.03415493;6.0;[-0.05366384];[0.00159402];[-0.00196864];[0.05791163];[0.00587647];-0.05352113;-6.0;374011669387900
60;[0.03765604];[0.05563627];[0.00951265];[0.00978985];[0.00601378];0.03697183;6.0;[-0.0531046];[0.00463238];[0.00022291];[0.04616141];[0.00731521];-0.0528169;-6.0;374011736520000
61;[0.03860849];[0.03164655];[0.01467779];[-0.06416746];[-0.00495793];0.03697183;6.0;[-0.05281916];[0.00362784];[0.00313396];[0.03514016];[0.00654706];-0.0528169;-6.0;374011803645400
62;[0.03835087];[0.0106239];[0.01251409];[-0.13913135];[-0.01407831];0.03697183;6.0;[-0.05274756];[0.0009008];[0.0049319];[0.01408947];[-0.00276143];-0.0528169;-5.0;374011870590400
63;[0.03730511];[-0.00399999];[0.0058841];[-0.16216174];[-0.02019888];0.03626761;6.0;[-0.0527927];[-0.00115536];[0.00248539];[-0.04319053];[-0.01089167];-0.0528169;-4.0;374011937662500
64;[0.03485123];[-0.01866674];[0.00060056];[-0.16769248];[-0.0277699];0.0334507;6.0;[-0.05369691];[-0.00665158];[-0.00056251];[-0.08362305];[-0.02120995];-0.05422535;-3.0;374012004664000
65;[0.03311724];[-0.01920298];[-0.00948884];[-0.15160516];[-0.02744943];0.03274648;6.0;[-0.05416854];[-0.00483799];[-0.00834776];[-0.10721453];[-0.02697657];-0.05422535;-2.0;374012071854100
66;[0.03119385];[-0.01792068];[-0.01507107];[-0.1016672];[-0.02745229];0.0306338;6.0;[-0.05468794];[-0.00154822];[-0.01495134];[-0.09970101];[-0.03244883];-0.05492958;-1.0;374012138940100
67;[0.03007105];[-0.01036313];[-0.01983097];[-0.06361963];[-0.0240779];0.029929579999999997;6.0;[-0.05476922];[0.00533911];[-0.02139992];[-0.09190177];[-0.03596442];-0.05492958;0.0;374012205884400
68;[0.02984515];[0.00063812];[-0.02225566];[-0.01619293];[-0.0189183];0.029929579999999997;6.0;[-0.05416079];[0.01560581];[-0.02711954];[-0.07399669];[-0.03757364];-0.05422535;1.0;374012272929200
69;[0.03004574];[0.00936477];[-0.02080645];[0.01598928];[-0.01517101];0.029929579999999997;6.0;[-0.05320032];[0.02492569];[-0.03024919];[-0.06003016];[-0.03983455];-0.05352113;2.0;374012340086700
70;[0.03076357];[0.01657067];[-0.01819037];[0.02578213];[-0.0118629];0.0306338;6.0;[-0.05213923];[0.03135279];[-0.03156906];[-0.06603581];[-0.04362344];-0.0528169;3.0;374012407180600
71;[0.03206822];[0.02324345];[-0.01563642];[0.03166367];[-0.00831233];0.03204225;6.0;[-0.05026592];[0.04079994];[-0.03472638];[-0.07242934];[-0.04503252];-0.050704229999999996;4.0;374012474078100
72;[0.03273564];[0.02131373];[-0.0101143];[0.01845224];[-0.00970918];0.03204225;6.0;[-0.04841462];[0.04648086];[-0.03563675];[-0.07460618];[-0.04863714];-0.04929577;5.0;374012541140700
73;[0.03334731];[0.01848417];[-0.0074848];[-0.0154693];[-0.01091894];0.03274648;6.0;[-0.04625225];[0.05198736];[-0.03731512];[-0.09035831];[-0.05187835];-0.0471831;6.0;374012608286500
74;[0.03350344];[0.0133676];[-0.00592348];[-0.03808818];[-0.01336178];0.03274648;6.0;[-0.04439471];[0.0534515];[-0.03796636];[-0.10993331];[-0.04955502];-0.04577465;6.0;374012675448600
75;[0.03385526];[0.0118752];[-0.00733062];[-0.04853235];[-0.01345454];0.0334507;6.0;[-0.04191428];[0.05855661];[-0.03906645];[-0.08333579];[-0.04515524];-0.042957749999999996;6.0;374012742447800
76;[0.03439102];[0.0128194];[-0.00902967];[-0.03611511];[-0.0123133];0.03415493;6.0;[-0.03738746];[0.07506518];[-0.04224468];[-0.02533275];[-0.03364156];-0.03732394;6.0;374012809462600
77;[0.03463383];[0.01168074];[-0.0086861];[-0.02825819];[-0.012739];0.03415493;6.0;[-0.03304061];[0.08224705];[-0.03657068];[0.02746437];[-0.02825348];-0.03380282;6.0;374012876464900
78;[0.03427077];[0.00686926];[-0.00722282];[-0.04225589];[-0.01546086];0.0334507;6.0;[-0.02904779];[0.08132898];[-0.02866775];[0.0093833];[-0.02703125];-0.03028169;6.0;374012943632900
79;[0.03399916];[0.00483736];[-0.00839625];[-0.05648083];[-0.01632144];0.0334507;6.0;[-0.0249803];[0.07906886];[-0.02387298];[-0.02113261];[-0.025709];-0.026056339999999997;6.0;374013010601600
80;[0.03342067];[0.00215243];[-0.00911703];[-0.05722314];[-0.01785815];0.03274648;6.0;[-0.00978912];[0.1524139];[-0.04879623];[0.16232271];[0.02397392];-0.00352113;6.0;374013077685300
81;[0.03270201];[0.00013671];[-0.01018443];[-0.06118469];[-0.01911922];0.03204225;6.0;[0.00157782];[0.1671693];[-0.02393853];[0.39622997];[0.03391314];0.00211268;6.0;374013144705400
82;[0.03194728];[-0.00073425];[-0.011552];[-0.06057796];[-0.01984253];0.031338029999999996;6.0;[0.01011724];[0.14677647];[0.00647226];[0.23935644];[0.02586904];0.0084507;6.0;374013211878400
83;[0.03120876];[-0.00062818];[-0.01282116];[-0.05620678];[-0.02013924];0.0306338;6.0;[0.01621803];[0.11199821];[0.02375973];[0.02991367];[0.0121025];0.01408451;6.0;374013278945400
84;[0.03092799];[0.00291845];[-0.01478767];[-0.04361118];[-0.01839649];0.0306338;6.0;[0.02106956];[0.08234637];[0.02518627];[-0.10185613];[0.00253967];0.01971831;6.0;374013346082500
85;[0.03049013];[0.00407021];[-0.01431697];[-0.03171535];[-0.0183481];0.029929579999999997;6.0;[0.02521408];[0.06306746];[0.01848364];[-0.13061515];[-0.00160527];0.024647890000000002;6.0;374013413029800
86;[0.03034424];[0.00646731];[-0.01443726];[-0.03085215];[-0.00950636];0.029929579999999997;5.0;[0.03109155];[0.06737174];[0.00521019];[-0.06387577];[0.00734031];0.03239437;6.0;374013480098300
87;[0.03034386];[0.00816415];[-0.01143173];[0.01749698];[-0.00165407];0.029929579999999997;4.0;[0.03528598];[0.06114515];[0.00561354];[0.01392849];[0.00742551];0.035211269999999996;6.0;374013547189800
88;[0.03036384];[0.00764373];[-0.00618976];[0.03975148];[0.00485412];0.029929579999999997;3.0;[0.03762424];[0.0449284];[0.0102391];[-0.01855383];[0.00105193];0.03661972;6.0;374013614328700
89;[0.0298976];[0.00206557];[0.00062479];[0.03855199];[0.00844355];0.029225349999999997;2.0;[0.0389633];[0.02902835];[0.01045259];[-0.07379583];[-0.00501222];0.03802817;6.0;374013681250200
90;[0.02953239];[-0.00227565];[0.00490235];[0.03116826];[0.01319818];0.029225349999999997;1.0;[0.03908801];[0.01315907];[0.00842004];[-0.10723815];[-0.01165071];0.03802817;6.0;374013748261200
91;[0.02882472];[-0.00832796];[0.00926044];[0.03435417];[0.01684858];0.028521130000000002;0.0;[0.03789285];[-0.00280307];[0.00527674];[-0.13558797];[-0.01916631];0.03661972;6.0;374013815403700
92;[0.02836562];[-0.01121172];[0.01163985];[0.04281746];[0.02251235];0.028521130000000002;-1.0;[0.03703739];[-0.00713617];[-0.00295162];[-0.13391505];[-0.02020715];0.03661972;6.0;374013882542500
93;[0.02724002];[-0.01829323];[0.01633158];[0.05225756];[0.02527676];0.02711268;-2.0;[0.03663564];[-0.00380528];[-0.0102056];[-0.08427087];[-0.01775105];0.03661972;6.0;374013949457400
94;[0.02573393];[-0.02605408];[0.02006988];[0.04385008];[0.02768325];0.025704229999999998;-3.0;[0.03659863];[0.00215528];[-0.0137369];[-0.03429014];[-0.01453944];0.03661972;6.0;374014016507700
95;[0.02534922];[-0.0235585];[0.0190795];[0.06691097];[0.03647463];0.02640845;-4.0;[0.03717888];[0.01005003];[-0.01490891];[0.00201234];[-0.01037449];0.03732394;6.0;374014083587600
96;[0.02397908];[-0.02934563];[0.02457114];[0.09789761];[0.0394051];0.02429577;-5.0;[0.03846591];[0.01884445];[-0.01433486];[0.03160723];[-0.0055633];0.03873239;6.0;374014150657500
97;[0.02283174];[-0.03264938];[0.02777248];[0.09397443];[0.04421997];0.02359155;-6.0;[0.03961695];[0.02182643];[-0.0102804];[0.04025073];[-0.0041251];0.03943662;6.0;374014217832600
98;[0.02142143];[-0.03733565];[0.03148981];[0.10301285];[0.04020936];0.022183099999999997;-6.0;[0.04054974];[0.02056258];[-0.00617384];[0.01929119];[-0.00470375];0.04014085;6.0;374014284856600
99;[0.01901913];[-0.04734494];[0.03419883];[0.04935213];[0.03340916];0.0193662;-6.0;[0.04214515];[0.02335687];[-0.00588979];[0.0095445];[-0.00219663];0.04225352;6.0;374014351819400
100;[0.01652824];[-0.05322176];[0.03162079];[0.01204865];[0.02940921];0.01725352;-6.0;[0.04326879];[0.02135757];[-0.00331636];[0.01080444];[-0.00273984];0.042957749999999996;6.0;374014419077100
101;[0.01413473];[-0.0544257];[0.02710417];[0.01462542];[0.02786061];0.015140849999999999;-6.0;[0.04364559];[0.01453091];[-0.00036777];[-0.01638034];[-0.00604777];0.042957749999999996;6.0;374014485972300
102;[0.00934215];[-0.07000438];[0.02958227];[-0.01162944];[0.0165881];0.00880282;-6.0;[0.04403355];[0.01057735];[-0.0010773];[-0.03965411];[-0.00732867];0.043661969999999994;6.0;374014553087700
103;[0.00491667];[-0.07535823];[0.02354431];[-0.05941804];[0.01202774];0.00528169;-6.0;[0.04409071];[0.0066743];[-0.0019938];[-0.04267189];[-0.00887735];0.043661969999999994;6.0;374014620118700
104;[0.00051363];[-0.07573433];[0.01687047];[-0.04326065];[0.00965764];0.00105634;-6.0;[0.04359201];[0.00126893];[-0.00237038];[-0.05147416];[-0.01163408];0.042957749999999996;6.0;374014687159900
105;[-0.00589098];[-0.08755205];[0.01700699];[-0.05770389];[-0.00074133];-0.00669014;-6.0;[0.04326168];[-2.34323617e-05];[-0.00493025];[-0.05471436];[-0.01196935];0.042957749999999996;6.0;374014754243300
106;[-0.00870558];[-0.06842905];[0.00252397];[-0.03691219];[0.00856589];-0.00669014;-6.0;[0.04311309];[0.00133148];[-0.00731847];[-0.03842591];[-0.01105525];0.042957749999999996;6.0;374014821503000
107;[-0.01395091];[-0.07172786];[0.00613124];[0.02197409];[0.00202699];-0.01443662;-6.0;[0.04310104];[0.00353124];[-0.00844441];[-0.02140088];[-0.00989852];0.042957749999999996;6.0;374014888290200
108;[-0.01868072];[-0.07073335];[0.00484591];[-0.02318841];[-0.00081288];-0.01866197;-6.0;[0.04315721];[0.0053119];[-0.00839361];[-0.01179264];[-0.00908465];0.042957749999999996;6.0;374014955442800
109;[-0.0226407];[-0.06427387];[0.00089199];[-0.01647446];[-0.00021144];-0.022183099999999997;-6.0;[0.04322364];[0.00618978];[-0.0077281];[-0.01015223];[-0.00876785];0.042957749999999996;6.0;374015022559500
110;[-0.02828491];[-0.07138814];[0.00395936];[-0.03042947];[-0.00844164];-0.029225349999999997;-6.0;[0.04412301];[0.01209907];[-0.00912342];[0.001719];[0.00271027];0.044366199999999995;5.0;374015089575200
111;[-0.03240687];[-0.0649579];[-0.00205455];[-0.05491293];[-0.0074646];-0.03204225;-6.0;[0.04462839];[0.01207203];[-0.00398129];[0.05664448];[0.00972772];0.044366199999999995;4.0;374015156540000
112;[-0.03553879];[-0.05316853];[-0.00708522];[-0.00686677];[-0.00371312];-0.03485915;-6.0;[0.04521891];[0.01052651];[0.00191406];[0.06603448];[0.01613205];0.04507042;3.0;374015223758100
